label,QXMC,_1stIn,_2ndIn,_3rdIn
0,荔湾区,5.5359,351.4593,858.57
1,越秀区,0.0,126.0538,3524.131
2,海珠区,1.1553,450.6864,2050.6822
3,天河区,2.5795176415983003,447.333476762966,5765.807405595439
4,白云区,36.5549,563.9812,1875.6658
5,黄埔区,5.1923,2529.1454,1779.4175
6,番禺区,39.7522,1016.191,1649.5258
7,花都区,52.0627,762.201,956.5427
8,南沙区,72.2789,995.4958,1184.808
9,从化区,35.7893,130.039,245.0886
10,增城区,67.4043,536.7083,721.1584
11,罗湖区,0.472694421634374,155.55868633586388,2474.1599420123366
12,福田区,1.7309662221290965,504.2895346292022,5008.472215031084
13,南山区,1.082773681420007,2459.849502232446,5574.949989118035
14,宝安区,0.903205937708919,2371.8328208998023,2328.8769185412566
15,龙岗区,2.6125977361650365,3460.0344907752283,1679.5738964786544
16,盐田区,0.31842258625213715,151.4271149393565,668.8737981370343
17,龙华区,0.6045448715424148,1494.2171742361381,1456.8514558729808
18,坪山区,1.2488048620633643,754.2686566629867,324.12045733120885
19,光明区,2.325649092638446,1016.9667533379823,407.8097510892975
20,香洲区,2.12153617813816,938.9292829098839,1741.1742983261897
21,斗门区,44.617884073457404,252.64680188649302,204.001585565245
22,金湾区,13.7805090742761,616.500136002006,231.68166598430201
23,禅城区,0.643164936390771,792.585872200372,1490.57608187068
24,南海区,66.2411987244427,2006.08831491177,1658.26120294249
25,顺德区,71.2688116826517,2478.62570701265,1616.4941820123402
26,三水区,45.6623369048662,1068.65203223733,358.11754940770396
27,高明区,37.3164713213123,783.847522712319,224.013151122644
28,蓬江区,7.395330278189951,330.690053867218,532.8384340982279
29,江海区,7.91239844992655,184.291468863929,109.89559542693401
30,新会区,66.3060852135726,484.672610126969,400.650089392835
31,台山市,113.351935064656,203.85929684725102,199.289484156241
32,开平市,56.5046967728804,217.569575899637,181.993869616306
33,鹤山市,36.4562288371628,240.53221081186197,181.518607056352
34,恩平市,36.680319762238206,62.025970427813405,118.971039029798
35,端州区,0.255024590992228,135.833294367387,332.832914139518
36,鼎湖区,11.9192906523204,70.42715437301959,70.9405345409743
37,高要区,114.509114965955,289.208523619355,138.403229545414
38,广宁县,61.3530203712356,54.35943927085201,64.8708371644544
39,怀集县,119.811134696278,68.5200475311175,106.345628062281
40,封开县,61.6071808499585,58.6927312964855,50.68099541236
41,德庆县,44.2988334230117,43.6761992431991,62.957827267935606
42,四会市,72.7075880484147,406.218095019597,264.61726154788175
43,惠城区,44.85962015553144,969.299417906997,921.482808385175
44,惠阳区,25.37161787382419,1242.1298036212859,451.72802554991404
45,博罗县,88.50393424316741,436.47534871476796,276.408390840881
46,惠东县,80.7356754258555,288.351662662589,372.683690467777
47,龙门县,37.9835465844605,83.6124139057792,81.6098436619997
48,东莞市,36.5,6513.64,4650.18
49,中山市,89.2,1795.25,1746.83
50,香港,12.78,1512.88,21999.51
51,澳门,0.0,124.53,1492.59
